Date,Month,Day,Month name,Quarter,Year,Day No.
5/27/2009 0:00,5,Wednesday,May,Q2,2009,27
5/28/2009 0:00,5,Thursday,May,Q2,2009,28
5/29/2009 0:00,5,Friday,May,Q2,2009,29
5/30/2009 0:00,5,Saturday,May,Q2,2009,30
5/31/2009 0:00,5,Sunday,May,Q2,2009,31
6/1/2009 0:00,6,Monday,June,Q2,2009,1
6/2/2009 0:00,6,Tuesday,June,Q2,2009,2
6/3/2009 0:00,6,Wednesday,June,Q2,2009,3
6/4/2009 0:00,6,Thursday,June,Q2,2009,4
6/5/2009 0:00,6,Friday,June,Q2,2009,5
6/6/2009 0:00,6,Saturday,June,Q2,2009,6
6/7/2009 0:00,6,Sunday,June,Q2,2009,7
6/8/2009 0:00,6,Monday,June,Q2,2009,8
6/9/2009 0:00,6,Tuesday,June,Q2,2009,9
6/10/2009 0:00,6,Wednesday,June,Q2,2009,10
6/11/2009 0:00,6,Thursday,June,Q2,2009,11
6/12/2009 0:00,6,Friday,June,Q2,2009,12
6/13/2009 0:00,6,Saturday,June,Q2,2009,13
6/14/2009 0:00,6,Sunday,June,Q2,2009,14
6/15/2009 0:00,6,Monday,June,Q2,2009,15
6/16/2009 0:00,6,Tuesday,June,Q2,2009,16
6/17/2009 0:00,6,Wednesday,June,Q2,2009,17
6/18/2009 0:00,6,Thursday,June,Q2,2009,18
6/19/2009 0:00,6,Friday,June,Q2,2009,19
6/20/2009 0:00,6,Saturday,June,Q2,2009,20
6/21/2009 0:00,6,Sunday,June,Q2,2009,21
6/22/2009 0:00,6,Monday,June,Q2,2009,22
6/23/2009 0:00,6,Tuesday,June,Q2,2009,23
6/24/2009 0:00,6,Wednesday,June,Q2,2009,24
6/25/2009 0:00,6,Thursday,June,Q2,2009,25
6/26/2009 0:00,6,Friday,June,Q2,2009,26
6/27/2009 0:00,6,Saturday,June,Q2,2009,27
6/28/2009 0:00,6,Sunday,June,Q2,2009,28
6/29/2009 0:00,6,Monday,June,Q2,2009,29
6/30/2009 0:00,6,Tuesday,June,Q2,2009,30
7/1/2009 0:00,7,Wednesday,July,Q3,2009,1
7/2/2009 0:00,7,Thursday,July,Q3,2009,2
7/3/2009 0:00,7,Friday,July,Q3,2009,3
7/4/2009 0:00,7,Saturday,July,Q3,2009,4
7/5/2009 0:00,7,Sunday,July,Q3,2009,5
7/6/2009 0:00,7,Monday,July,Q3,2009,6
7/7/2009 0:00,7,Tuesday,July,Q3,2009,7
7/8/2009 0:00,7,Wednesday,July,Q3,2009,8
7/9/2009 0:00,7,Thursday,July,Q3,2009,9
7/10/2009 0:00,7,Friday,July,Q3,2009,10
7/11/2009 0:00,7,Saturday,July,Q3,2009,11
7/12/2009 0:00,7,Sunday,July,Q3,2009,12
7/13/2009 0:00,7,Monday,July,Q3,2009,13
7/14/2009 0:00,7,Tuesday,July,Q3,2009,14
7/15/2009 0:00,7,Wednesday,July,Q3,2009,15
7/16/2009 0:00,7,Thursday,July,Q3,2009,16
7/17/2009 0:00,7,Friday,July,Q3,2009,17
7/18/2009 0:00,7,Saturday,July,Q3,2009,18
7/19/2009 0:00,7,Sunday,July,Q3,2009,19
7/20/2009 0:00,7,Monday,July,Q3,2009,20
7/21/2009 0:00,7,Tuesday,July,Q3,2009,21
7/22/2009 0:00,7,Wednesday,July,Q3,2009,22
7/23/2009 0:00,7,Thursday,July,Q3,2009,23
7/24/2009 0:00,7,Friday,July,Q3,2009,24
7/25/2009 0:00,7,Saturday,July,Q3,2009,25
7/26/2009 0:00,7,Sunday,July,Q3,2009,26
7/27/2009 0:00,7,Monday,July,Q3,2009,27
